instance_name,algorithm,execution_time,cost
dataset_size8_2,gurobi,3.313816907000728,3902.9100000000017
dataset_size8_2,nearest_neighbour,0.00018767100118566304,301.11
dataset_size8_2,two_opt,0.0006846149917691946,285.52
dataset_size25_10,nearest_neighbour,0.0003503240004647523,411.17
dataset_size25_10,two_opt,0.03372852600296028,372.1
dataset_size8_3,nearest_neighbour,0.00014489000022877008,287.09999999999997
dataset_size8_3,two_opt,0.0006990850088186562,276.5
dataset_size100_8,nearest_neighbour,0.006578155007446185,575.5000000000001
dataset_size100_8,two_opt,4.958505725997384,522.6600000000001
dataset_size8_1,gurobi,32.491184504004195,3894.150000000002
dataset_size8_1,nearest_neighbour,0.00030839600367471576,301.49
dataset_size8_1,two_opt,0.0006666139961453155,285.9
dataset_size50_9,nearest_neighbour,0.0007510029972763732,519.5999999999999
dataset_size50_9,two_opt,0.7204751120007131,451.73999999999995
dataset_size50_8,nearest_neighbour,0.000757490997784771,463.68000000000006
dataset_size50_8,two_opt,0.46191281799110584,429.15
dataset_size100_9,nearest_neighbour,0.00490191500284709,556.6900000000002
dataset_size100_9,two_opt,8.38055310100026,517.3500000000001
dataset_size25_2,nearest_neighbour,0.0003020080039277673,378.4600000000001
dataset_size25_2,two_opt,0.019265620008809492,375.38
dataset_size50_10,gurobi,905.8015624459949,4036.740000000002
dataset_size50_10,nearest_neighbour,0.0008709999965503812,439.67
dataset_size50_10,two_opt,0.32424602800165303,422.94
dataset_size25_3,nearest_neighbour,0.0002830900048138574,431.11
dataset_size25_3,two_opt,0.04790791399136651,387.89
dataset_size25_1,gurobi,11.381149952998385,3995.660000000002
dataset_size25_1,nearest_neighbour,0.0004627610032912344,415.71
dataset_size25_1,two_opt,0.08857545501086861,371.57
dataset_size25_4,nearest_neighbour,0.0002886199945351109,403.7
dataset_size25_4,two_opt,0.03797079900687095,369.37999999999994
dataset_size75_8,nearest_neighbour,0.004578183987177908,502.63999999999993
dataset_size75_8,two_opt,2.1319155109958956,469.37
dataset_size9_1,gurobi,73.74227936100215,3900.1500000000015
dataset_size9_1,nearest_neighbour,0.00010267100878991187,311.19
dataset_size9_1,two_opt,0.0011228289949940518,291.91
dataset_size75_9,nearest_neighbour,0.0024808989983284846,539.72
dataset_size75_9,two_opt,2.4436600400076713,501.35
dataset_size25_5,nearest_neighbour,0.00030799700471106917,425.18
dataset_size25_5,two_opt,0.030147972007398494,390.31
dataset_size25_7,nearest_neighbour,0.000300979008898139,422.5
dataset_size25_7,two_opt,0.023667981004109606,393.21000000000004
dataset_size9_2,nearest_neighbour,0.00014582699805032462,301.94
dataset_size9_2,two_opt,0.0011937320086872205,286.35
dataset_size9_3,gurobi,53.071816590003436,3900.970000000002
dataset_size9_3,nearest_neighbour,0.00010238699906039983,312.01
dataset_size9_3,two_opt,0.0009284859988838434,292.73
dataset_size25_6,nearest_neighbour,0.0003289279993623495,428.11
dataset_size25_6,two_opt,0.018329263999476098,402.46
dataset_size75_7,nearest_neighbour,0.0016255140071734786,538.5500000000001
dataset_size75_7,two_opt,3.040768739010673,481.31
dataset_size5_3,nearest_neighbour,0.00028881500475108624,250.04
dataset_size5_3,two_opt,0.0002476720110280439,249.36
dataset_size7_1,nearest_neighbour,0.0009764560090843588,273.57
dataset_size7_1,two_opt,0.002108198998030275,266.52
dataset_size5_2,gurobi,9.783143984008348,3889.040000000002
dataset_size5_2,nearest_neighbour,8.32130026537925e-05,297.06
dataset_size5_2,two_opt,0.0003241339873056859,280.76
dataset_size75_6,nearest_neighbour,0.0015191669954219833,537.9199999999998
dataset_size75_6,two_opt,1.597522525000386,485.63000000000005
dataset_size25_8,gurobi,6.284906200002297,4011.510000000002
dataset_size25_8,nearest_neighbour,0.0002756789908744395,376.81
dataset_size25_8,two_opt,0.016151638003066182,374.38
dataset_size75_4,nearest_neighbour,0.0016163179971044883,524.49
dataset_size75_4,two_opt,2.6202697810076643,481.29999999999995
dataset_size7_2,gurobi,38.1968228330079,3862.920000000002
dataset_size7_2,nearest_neighbour,7.887399988248944e-05,263.85
dataset_size7_2,two_opt,0.0006607650138903409,254.68
dataset_size7_3,gurobi,40.71990404500684,3890.720000000002
dataset_size7_3,nearest_neighbour,8.484598947688937e-05,298.48
dataset_size7_3,two_opt,0.0006657319900114089,282.48
dataset_size100_10,nearest_neighbour,0.002567903997260146,568.0
dataset_size100_10,two_opt,4.394630178998341,506.3499999999999
dataset_size5_1,gurobi,32.49367194600927,3873.4300000000017
dataset_size5_1,nearest_neighbour,9.862399019766599e-05,274.85
dataset_size5_1,two_opt,0.00033185200300067663,265.19
dataset_size75_5,nearest_neighbour,0.001305900004808791,558.3399999999999
dataset_size75_5,two_opt,3.6208255810051924,477.13
dataset_size25_9,gurobi,6.607426475995453,4009.860000000002
dataset_size25_9,nearest_neighbour,0.0003396259999135509,419.76
dataset_size25_9,two_opt,0.03326564599410631,392.87
dataset_size3_3,gurobi,0.5720352640055353,3885.7400000000016
dataset_size3_3,nearest_neighbour,0.00012112301192246377,277.09
dataset_size3_3,two_opt,0.00012051999510731548,271.25
dataset_size75_1,nearest_neighbour,0.0014519360120175406,526.9399999999999
dataset_size75_1,two_opt,2.73150986598921,478.18000000000006
dataset_size3_2,gurobi,0.8865434620092856,3855.5800000000017
dataset_size3_2,nearest_neighbour,7.172000186983496e-05,247.63
dataset_size3_2,two_opt,0.00011575399548746645,247.29
dataset_size75_2,nearest_neighbour,0.0013954919995740056,544.4
dataset_size75_2,two_opt,2.3498398910014657,483.69999999999993
