instance_name,algorithm,execution_time,cost,total_distance,feasible,num_vehicles
new_dataset_size15_9,two_opt_multi_truck,0.0038922997191548347,567.54,294.59999999999997,True,2
new_dataset_size20_1,or_tools,1204.0761743998155,0.0,0.0,,0
new_dataset_size20_1,nearest_neighbour_multi_truck,0.001336200162768364,574.17,305.22999999999996,True,2
new_dataset_size20_1,two_opt_multi_truck,0.006853699684143066,567.65,294.7699999999999,True,2
new_dataset_size20_10,or_tools,1203.483883799985,0.0,0.0,,0
new_dataset_size20_10,nearest_neighbour_multi_truck,0.0009506996721029282,579.29,327.90999999999997,True,2
new_dataset_size20_10,two_opt_multi_truck,0.003405199386179447,571.61,315.59,True,2
new_dataset_size20_2,or_tools,1203.9104579994455,0.0,0.0,,0
new_dataset_size20_2,nearest_neighbour_multi_truck,0.001845099963247776,831.78,425.0400000000001,True,3
new_dataset_size20_2,two_opt_multi_truck,0.01657890062779188,809.85,389.83,True,3
new_dataset_size20_3,or_tools,1204.673713600263,0.0,0.0,,0
new_dataset_size20_3,nearest_neighbour_multi_truck,0.0008741002529859543,569.26,311.83,True,2
new_dataset_size20_3,two_opt_multi_truck,0.028055899776518345,547.9000000000001,277.53,True,2
new_dataset_size20_4,or_tools,1203.977612300776,0.0,0.0,,0
new_dataset_size20_4,nearest_neighbour_multi_truck,0.0009247008711099625,608.0999999999998,374.18,True,2
new_dataset_size20_4,two_opt_multi_truck,0.006983100436627865,595.5699999999999,354.0899999999999,True,2
new_dataset_size20_5,or_tools,1204.6134328991175,0.0,0.0,,0
new_dataset_size20_5,nearest_neighbour_multi_truck,0.0015039006248116493,616.8199999999999,388.16999999999996,True,2
new_dataset_size20_5,two_opt_multi_truck,0.006095300428569317,615.4300000000001,385.95,True,2
new_dataset_size20_6,or_tools,1204.4579320000485,0.0,0.0,,0
new_dataset_size20_6,nearest_neighbour_multi_truck,0.0011721998453140259,586.3899999999999,324.87,True,2
new_dataset_size20_6,two_opt_multi_truck,0.005516599863767624,572.1299999999999,301.99,True,2
new_dataset_size20_7,or_tools,1204.4255142994225,557.1399999999998,306.82000000000005,True,2
new_dataset_size20_7,nearest_neighbour_multi_truck,0.00048530008643865585,546.55,260.91999999999996,True,2
new_dataset_size20_7,two_opt_multi_truck,0.0049497997388243675,545.5999999999999,259.4,True,2
new_dataset_size20_8,or_tools,1204.9171250006184,0.0,0.0,,0
new_dataset_size20_8,nearest_neighbour_multi_truck,0.0025422992184758186,819.0999999999999,419.07,True,3
new_dataset_size20_8,two_opt_multi_truck,0.015519999898970127,799.2099999999999,387.14,True,3
new_dataset_size20_9,or_tools,1204.6327521996573,582.03,346.75000000000006,True,2
new_dataset_size20_9,nearest_neighbour_multi_truck,0.0003961995244026184,609.0799999999999,361.26,True,2
new_dataset_size20_9,two_opt_multi_truck,0.004609700292348862,597.49,342.67,True,2
